note0,note1,note2,note3
72,65,57,53
72,65,57,53
72,65,57,53
72,65,57,53
72,67,55,52
72,67,55,52
72,67,60,52
72,67,60,52
72,65,57,53
72,65,57,53
72,65,57,53
72,65,57,53
74,65,58,46
74,65,58,46
74,65,58,48
74,65,58,48
74,65,58,50
74,65,58,50
74,67,58,46
74,67,58,46
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
72,69,60,53
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,53
70,67,60,53
70,67,60,53
70,67,60,52
70,67,60,52
69,60,60,53
69,60,60,53
69,60,65,53
69,60,65,53
67,60,64,48
67,60,64,48
67,60,64,46
67,60,64,46
69,60,65,45
69,60,65,45
70,60,53,50
70,60,53,50
67,62,62,46
67,64,62,46
67,65,62,45
67,65,62,46
67,65,55,48
67,65,55,48
67,64,55,48
67,64,55,48
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
67,64,57,46
67,64,57,46
67,65,57,46
67,65,57,46
67,67,60,52
67,67,60,52
67,65,60,50
67,65,60,50
67,67,58,52
67,67,58,52
67,64,58,48
67,64,58,48
69,60,57,41
69,60,57,41
69,62,58,43
69,62,58,43
69,65,60,45
69,65,60,45
69,65,60,46
69,65,60,46
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,58,48
67,64,58,48
69,60,57,53
69,60,57,53
71,62,55,53
71,62,55,53
72,64,55,52
72,64,55,52
72,64,60,57
72,64,60,57
72,69,60,53
72,69,60,53
72,69,65,50
72,69,65,50
71,67,64,55
71,67,62,55
71,65,64,43
71,65,64,43
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,64,60,48
72,65,57,53
72,65,57,53
72,65,57,53
72,65,57,53
74,65,58,46
74,65,58,46
74,67,58,46
74,67,58,46
72,69,60,53
72,69,60,53
72,69,62,51
72,69,63,51
70,69,65,50
70,69,65,50
70,67,58,51
70,67,58,51
69,67,63,48
69,67,63,48
69,66,62,50
69,66,62,50
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
70,67,62,43
69,60,65,45
69,60,65,45
69,60,65,41
69,60,65,41
67,60,64,48
67,60,64,48
67,60,60,52
67,60,60,52
69,60,57,53
69,60,57,53
70,62,55,46
70,62,55,46
67,60,55,48
67,60,55,48
67,65,57,48
67,65,57,48
67,64,58,36
67,64,58,36
65,64,55,36
65,64,55,36
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
