note0,note1,note2,note3
72,67,64,48
72,67,64,48
74,67,65,48
74,67,65,48
76,72,67,60
76,72,67,60
76,72,67,59
76,72,67,59
77,72,69,57
77,72,69,57
77,72,69,57
77,72,69,57
79,71,62,55
79,71,62,55
79,71,64,55
79,71,64,55
77,69,65,50
77,69,65,50
77,71,65,50
77,71,65,50
76,72,67,52
76,72,67,52
76,72,67,53
76,72,67,53
74,71,67,55
74,71,67,55
74,71,67,55
74,71,67,55
76,72,67,48
76,72,67,48
76,72,67,48
76,72,67,48
76,67,60,60
76,67,60,60
76,67,60,59
76,67,60,59
76,69,60,57
76,69,60,57
76,69,60,55
76,69,60,55
74,69,60,53
74,69,60,53
76,67,60,52
76,67,60,52
77,65,60,50
77,65,60,50
76,67,60,48
76,67,60,48
74,67,65,47
74,67,65,47
74,67,62,47
74,67,62,47
72,67,67,52
72,67,67,52
72,72,65,48
72,72,64,48
74,71,65,55
74,71,65,55
74,69,65,55
74,69,65,55
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
74,67,65,48
74,67,65,48
76,72,67,60
76,72,67,60
76,72,67,59
76,72,67,59
77,72,69,57
77,72,69,57
77,72,69,57
77,72,69,57
79,71,62,55
79,71,62,55
79,71,64,55
79,71,64,55
77,69,65,50
77,69,65,50
77,71,65,50
77,71,65,50
76,72,67,52
76,72,67,52
76,72,67,53
76,72,67,53
74,71,67,55
74,71,67,55
74,71,67,55
74,71,67,55
76,72,67,48
76,72,67,48
76,72,67,48
76,72,67,48
76,67,60,60
76,67,60,60
76,67,60,59
76,67,60,59
76,69,60,57
76,69,60,57
76,69,60,55
76,69,60,55
74,69,60,53
74,69,60,53
76,67,60,52
76,67,60,52
77,65,60,50
77,65,60,50
76,67,60,48
76,67,60,48
74,67,65,47
74,67,65,47
74,67,62,47
74,67,62,47
72,67,67,52
72,67,67,52
72,72,65,48
72,72,64,48
74,71,65,55
74,71,65,55
74,69,65,55
74,69,65,55
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
74,67,59,55
74,67,59,55
74,67,59,55
74,67,59,55
76,67,61,53
76,67,61,53
76,67,61,52
76,67,61,52
77,65,62,50
77,65,62,50
77,67,62,50
77,67,62,50
76,69,61,55
76,69,61,55
76,69,61,57
76,69,61,57
74,69,62,58
74,69,62,58
74,67,62,58
74,67,62,58
76,67,61,57
76,67,61,57
76,65,61,57
76,64,61,57
74,65,57,50
74,65,57,50
74,65,57,50
74,65,57,50
74,67,62,59
74,67,62,59
74,67,62,59
74,67,62,59
76,67,60,60
76,67,60,60
76,67,60,59
76,67,60,59
77,69,60,57
77,69,60,57
77,69,60,57
77,69,60,57
79,71,62,55
79,71,62,55
79,71,62,55
79,71,62,55
77,69,60,57
77,69,60,57
77,69,62,59
77,69,62,59
76,67,64,60
76,67,64,60
76,67,64,60
76,67,64,60
74,65,57,62
74,65,57,62
74,69,59,62
74,68,59,62
76,69,60,57
76,69,60,57
76,69,60,57
76,69,60,57
72,69,64,57
72,69,64,57
72,69,64,55
72,69,64,55
74,69,57,53
74,69,57,53
74,69,59,53
74,69,59,53
76,67,60,52
76,67,60,52
76,67,60,52
76,67,60,52
77,65,60,50
77,65,60,50
76,65,60,52
76,65,60,52
74,67,59,53
74,67,59,53
74,67,59,53
74,67,59,53
72,67,60,52
72,67,60,52
69,69,65,53
69,69,65,53
71,67,62,55
71,67,62,55
71,67,62,55
71,67,62,55
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,67,64,48
