note0,note1,note2,note3
71,48,77,64
83,52,64,41
47,80,51,63
62,69,83,74
70,81,74,51
65,44,77,53
53,72,42,73
63,64,76,41
74,75,82,59
58,59,67,76
75,81,48,68
81,63,80,74
42,82,84,54
68,82,61,49
46,47,49,48
76,82,62,52
43,56,68,84
49,77,82,45
43,74,78,62
75,70,48,59
48,57,54,73
57,53,72,72
81,60,48,51
71,63,72,60
68,53,62,41
82,45,67,82
79,71,54,84
48,47,46,64
70,83,54,69
61,60,60,57
46,42,62,63
71,65,51,79
78,43,63,57
55,54,64,63
73,68,41,62
61,54,72,41
65,56,77,42
61,44,58,55
74,45,54,66
83,55,78,76
59,84,73,66
80,43,80,40
57,79,63,46
78,71,50,63
67,55,64,82
58,56,77,58
69,73,53,75
61,77,49,45
59,64,74,74
41,46,45,73
46,78,47,79
69,79,62,83
53,61,55,46
43,77,40,63
76,43,83,82
43,51,60,68
58,54,46,84
44,83,81,73
44,57,51,83
75,45,76,43
69,60,83,78
49,71,62,74
62,78,54,79
75,67,66,76
51,56,59,70
65,54,49,53
50,74,77,84
82,51,44,72
65,59,52,59
84,81,53,70
58,49,42,66
59,68,56,74
66,71,52,57
59,67,77,58
69,66,67,47
73,50,57,67
65,69,60,42
62,59,72,68
49,57,53,76
55,78,81,60
42,55,45,45
54,71,67,61
51,72,69,68
67,41,63,45
42,44,60,65
58,78,65,74
66,61,48,44
64,61,63,40
42,77,58,50
54,40,67,62
76,78,49,70
55,70,45,76
66,52,82,75
57,72,47,75
51,80,60,69
51,42,60,66
70,63,69,60
44,49,81,54
62,72,56,50
73,51,40,64
75,62,41,43
49,61,71,59
67,81,82,52
64,64,51,55
67,67,56,83
40,48,76,49
47,60,61,76
68,44,54,62
82,64,40,45
48,42,49,41
50,82,63,60
41,76,62,40
62,67,49,65
57,70,71,44
43,56,68,73
48,56,57,41
64,67,62,70
78,43,47,74
44,79,44,47
80,55,76,82
71,42,48,61
70,83,77,73
53,80,84,83
75,51,59,75
58,57,66,82
68,42,52,79
77,58,62,73
47,62,54,69
51,61,76,75
82,61,64,42
69,47,66,58
77,74,61,54
58,78,53,65
74,70,78,45
76,49,47,55
72,74,41,65
43,78,41,44
54,44,65,48
79,53,63,63
49,55,82,43
62,72,61,77
52,50,82,62
72,57,46,68
78,84,58,72
84,47,45,84
49,77,64,62
45,61,54,55
63,43,45,71
47,57,77,41
64,53,51,69
43,81,44,82
79,73,71,83
75,70,54,80
50,61,62,43
72,82,51,58
84,58,63,70
54,62,52,66
64,52,84,83
74,46,80,55
46,65,52,84
69,47,72,67
68,48,66,61
47,68,51,66
67,62,63,83
60,53,44,60
79,60,78,68
60,75,80,84
40,42,56,57
83,82,44,83
71,78,60,50
70,73,77,76
55,44,50,65
53,43,45,40
48,82,66,40
57,62,44,70
67,46,69,67
68,60,51,54
66,76,74,84
59,54,78,80
49,58,82,71
68,40,42,62
66,46,55,53
83,80,64,78
78,57,43,76
71,45,45,70
47,54,52,57
53,67,81,63
68,52,41,65
58,43,80,68
47,51,57,40
57,55,51,49
60,68,76,43
47,49,47,47
68,73,75,72
77,79,79,77
68,61,65,62
46,46,79,54
71,40,70,61
43,66,63,63
79,69,65,67
54,57,83,40
60,65,60,46
45,67,64,53
57,73,76,62
83,43,44,78
45,45,59,63
73,40,72,69
50,76,78,44
56,48,79,44
45,74,79,54
40,52,40,65
51,47,48,65
50,77,46,75
70,57,57,54
72,52,62,84
49,46,61,65
62,75,65,49
61,84,53,43
44,69,72,70
67,71,48,41
75,61,61,72
67,81,72,60
80,50,56,58
49,58,62,71
78,40,55,68
67,82,83,76
59,66,61,40
74,62,83,62
84,77,76,57
58,77,59,52
77,56,45,76
80,79,52,57
47,77,61,63
46,78,64,50
54,74,71,71
71,79,48,83
54,84,57,73
52,79,78,58
48,68,50,44
78,82,80,77
44,63,51,65
46,49,63,73
57,62,68,43
71,77,44,73
