note0,note1,note2,note3
83,77,66,45
44,58,60,76
63,53,84,40
45,81,76,62
46,40,52,54
66,47,48,46
60,71,65,48
57,45,80,62
69,84,49,69
70,75,47,70
65,45,49,53
78,53,71,78
73,65,81,48
44,60,75,48
61,82,65,72
69,68,80,78
58,66,58,43
61,74,68,68
68,68,82,68
61,77,73,59
70,68,84,59
71,53,59,68
61,52,41,66
82,47,66,58
82,70,73,70
56,75,78,78
46,43,72,49
50,51,48,58
78,78,45,41
76,41,55,80
84,62,52,71
80,67,62,53
46,56,57,42
46,68,61,42
71,82,82,46
44,83,71,80
56,69,58,46
77,66,75,59
43,79,60,52
46,61,69,79
69,45,70,64
64,44,69,79
46,50,63,81
71,83,53,73
40,83,74,77
58,63,58,82
82,53,64,51
75,55,71,66
77,63,44,70
67,68,71,52
74,68,52,51
55,79,78,54
82,68,74,43
84,60,74,46
79,83,52,75
57,49,58,50
58,80,58,68
76,84,41,56
52,51,66,46
67,51,42,66
56,76,63,41
67,83,64,52
51,65,49,52
72,60,80,76
75,78,69,59
54,40,45,52
54,75,84,47
79,42,40,43
64,59,77,44
69,49,53,61
42,45,83,74
53,59,69,67
46,61,59,59
65,69,46,83
45,43,66,42
76,53,51,49
45,70,78,70
64,67,73,54
63,44,63,65
58,46,53,52
71,46,80,70
58,52,80,60
49,62,57,52
76,47,80,61
48,69,74,73
46,40,45,68
79,47,77,82
70,71,44,61
76,46,56,82
75,60,53,82
75,67,81,70
73,51,55,78
71,63,41,62
48,73,64,54
82,40,59,62
67,74,64,52
47,59,73,45
73,78,51,41
52,73,68,65
43,64,45,54
69,41,61,48
45,49,84,42
80,41,79,50
46,80,50,82
65,79,64,42
54,68,43,41
77,42,50,46
49,50,54,64
69,71,64,64
52,72,73,48
55,61,73,49
51,42,70,66
69,43,54,52
84,46,57,67
65,81,74,67
77,52,51,63
61,70,79,53
70,43,62,80
80,41,68,82
68,61,52,46
83,83,79,76
74,64,56,42
47,80,64,78
53,66,52,83
65,55,56,44
55,58,45,53
57,41,42,40
66,57,46,80
84,62,65,60
74,63,41,83
70,62,77,47
57,58,72,53
62,58,59,64
59,70,48,67
62,69,50,62
62,58,46,68
63,68,49,59
76,41,83,58
70,56,72,42
41,68,44,55
76,78,77,70
72,74,62,62
55,68,54,71
65,63,76,69
65,57,74,57
68,81,75,67
82,71,83,49
81,70,50,56
40,73,66,75
45,78,50,70
54,51,47,79
49,84,76,53
82,81,48,80
72,82,82,61
69,40,50,54
56,43,64,53
54,64,47,44
51,43,79,64
58,84,55,51
45,55,78,76
69,81,68,79
45,79,51,56
56,75,57,41
79,73,56,46
55,61,77,49
52,46,59,76
61,73,48,84
63,40,55,41
79,56,80,51
68,60,51,54
65,43,40,59
51,64,69,60
69,72,81,43
64,72,42,76
62,50,78,72
50,45,78,74
80,64,84,61
48,81,83,78
80,58,57,80
60,61,82,54
78,50,68,57
47,75,79,40
42,61,81,54
67,56,74,77
42,71,77,53
75,59,59,63
50,84,53,69
84,72,82,80
84,57,43,41
54,47,66,83
77,45,46,61
56,47,53,60
53,63,57,58
46,71,49,45
84,57,76,42
77,61,46,71
76,58,41,80
69,82,43,73
54,46,79,49
40,52,41,74
52,62,60,69
59,72,77,78
79,73,76,64
52,70,55,44
43,77,61,49
51,44,56,65
63,60,70,79
80,52,80,54
48,66,54,67
65,51,40,81
73,57,59,63
44,81,76,59
54,60,68,56
61,83,79,56
81,73,56,51
41,83,50,70
76,61,50,49
53,73,60,78
62,56,80,53
42,62,59,44
84,80,72,69
64,68,44,51
69,64,48,78
64,40,70,65
59,49,56,63
46,68,53,74
46,68,46,59
59,65,79,62
43,51,74,81
63,83,62,41
81,58,71,57
78,42,52,63
50,69,77,65
59,66,42,66
47,47,68,63
81,51,73,56
83,53,40,76
56,71,52,56
65,66,43,81
65,42,59,61
51,59,65,40
79,78,72,54
62,60,65,72
68,75,60,62
